"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: IDMP Mapping","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"SubstanceDefinition","","","",0,*,"","","","","The detailed description of a substance, typically at a level beyond what is used for prescribing","The detailed description of a substance, typically at a level beyond what is used for prescribing.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Substance (and derived classes: Chemical, Polymer, Protein, Nucleic_Acid, Structurally_Diverse)","administrative.medication","Entity. Role, or Act"
"SubstanceDefinition.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Typically, the resource has an id except for cases like the create operation, conditional updates.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"SubstanceDefinition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceDefinition.relationship.isDefining","","","",0,1,"","","Y","boolean {[]} {[]}
","For example where an enzyme strongly bonds with a particular substance, this is a defining relationship for that enzyme, out of several possible substance relationships","For example where an enzyme strongly bonds with a particular substance, this is a defining relationship for that enzyme, out of several possible substance relationships.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.relationship.isDefining",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Substance_Relationship.Is_Defining"
"SubstanceDefinition.relationship.amount[x]","","","",0,1,"","","Y","Quantity {[]} {[]}
Ratio {[]} {[]}string {[]} {[]}","A numeric factor for the relationship, for instance to express that the salt of a substance has some percentage of the active substance in relation to some other","A numeric factor for the relationship, for instance to express that the salt of a substance has some percentage of the active substance in relation to some other.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.relationship.amount[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Substance_Relationship.Amount.Quantity"
"SubstanceDefinition.relationship.amountRatioHighLimit","","","",0,1,"","","Y","Ratio {[]} {[]}
","For use when the numeric has an uncertain range","For use when the numeric has an uncertain range.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.relationship.amountRatioHighLimit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Substance_Relationship.Amount.Quantity.High_Limit"
"SubstanceDefinition.relationship.amountType","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","An operator for the amount, for example ""average"", ""approximately"", ""less than""","An operator for the amount, for example ""average"", ""approximately"", ""less than"".","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.relationship.amountType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Substance_Relationship.Amount_Type"
"SubstanceDefinition.relationship.source","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Supporting literature","Supporting literature.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.relationship.source",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Substance_Relationship.Reference_Source"
"SubstanceDefinition.nucleicAcid","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceNucleicAcid]]}
","Data items specific to nucleic acids","Data items specific to nucleic acids.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.nucleicAcid",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(used to add specifics of Nucleic Acids to Substances)"
"SubstanceDefinition.polymer","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstancePolymer]]}
","Data items specific to polymers","Data items specific to polymers.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.polymer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(used to  add specifics of Polymers to Substances)"
"SubstanceDefinition.protein","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceProtein]]}
","Data items specific to proteins","Data items specific to proteins.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.protein",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(used to  add specifics of Proteins to Substances)"
"SubstanceDefinition.sourceMaterial","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Material or taxonomic/anatomical source for the substance","Material or taxonomic/anatomical source for the substance.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.sourceMaterial",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Substance.Source_Material"
"SubstanceDefinition.sourceMaterial.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceDefinition.sourceMaterial.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SubstanceDefinition.sourceMaterial.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceDefinition.sourceMaterial.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","A classification that provides the origin of the raw material. Example: cat hair would be an Animal source type","A classification that provides the origin of the raw material. Example: cat hair would be an Animal source type.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.sourceMaterial.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Source_Material.Source_Material_Type"
"SubstanceDefinition.sourceMaterial.genus","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The genus of an organism, typically referring to the Latin epithet of the genus element of the plant/animal scientific name","The genus of an organism, typically referring to the Latin epithet of the genus element of the plant/animal scientific name.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.sourceMaterial.genus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Source_Material.Organism.Genus"
"SubstanceDefinition.sourceMaterial.species","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The species of an organism, typically referring to the Latin epithet of the species of the plant/animal","The species of an organism, typically referring to the Latin epithet of the species of the plant/animal.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.sourceMaterial.species",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Source_Material.Organism.Species"
"SubstanceDefinition.sourceMaterial.part","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","An anatomical origin of the source material within an organism","An anatomical origin of the source material within an organism.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.sourceMaterial.part",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Source_Material.Part_Description.Part"
"SubstanceDefinition.sourceMaterial.countryOfOrigin","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The country or countries where the material is harvested","The country or countries where the material is harvested.","","","","","","","","","",,,,,"",,,,"SubstanceDefinition.sourceMaterial.countryOfOrigin",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Source_Material.Country_Of_Origin"
